id,name,text,creation_date,creator_id
1,lib,Its main implementation is the Glasgow Haskell Compiler. Ports are used to communicate with the external world. It is also a garbage-collected runtime system. Type classes first appeared in the Haskell programming language. Atoms are used within a program to denote distinguished values.,2025-07-03 23:02:51.741227,7
2,wrong,"Erlang is a general-purpose, concurrent, functional programming language. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. Haskell features a type system with type inference and lazy evaluation. Its main implementation is the Glasgow Haskell Compiler. I don't even care.",2025-07-09 04:42:16.446705,4
3,perform,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase. It is also a garbage-collected runtime system. Type classes first appeared in the Haskell programming language. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. Do you have any idea why this is not working?",2025-01-02 13:52:01.077317,5
4,cam,"Type classes first appeared in the Haskell programming language. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" In 1989 the building was heavily damaged by fire, but it has since been restored. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. Where are my pants?",2025-01-06 09:30:25.742035,13
5,developments,"I don't even care. Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. Type classes first appeared in the Haskell programming language. Tuples are containers for a fixed number of Erlang data types. Ports are used to communicate with the external world.",2025-06-13 05:37:10.169332,5
6,district,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. Type classes first appeared in the Haskell programming language. She spent her earliest years reading classic literature, and writing poetry. Atoms are used within a program to denote distinguished values. Ports are created with the built-in function open_port.",2025-02-24 19:37:18.656775,11
7,rings,"Make me a sandwich. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Ports are used to communicate with the external world. They are written as strings of consecutive alphanumeric characters, the first character being lowercase. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",2025-02-23 15:53:49.759095,17
8,pl,Ports are created with the built-in function open_port. Tuples are containers for a fixed number of Erlang data types. Erlang is known for its designs that are well suited for systems. Make me a sandwich. Do you come here often?,2025-05-18 09:56:51.516284,5
9,meeting,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. They are written as strings of consecutive alphanumeric characters, the first character being lowercase. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",2025-03-04 01:23:05.907323,1
10,portal,"Its main implementation is the Glasgow Haskell Compiler. Do you have any idea why this is not working? The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. Haskell features a type system with type inference and lazy evaluation.",2025-11-27 19:44:34.685579,4
